sample_name,source_name,Strain,sex,age
DGRP_Line_382_Female_SAMN22427222,DGRP Line 382 Female,DGRP_382,female,adult
DGRP_Line_382_Male_SAMN22427223,DGRP Line 382 Male,DGRP_382,male,adult
DGRP_Line_382_Male_SAMN22427224,DGRP Line 382 Male,DGRP_382,male,adult
DGRP_Line_383_Female_SAMN22427225,DGRP Line 383 Female,DGRP_383,female,adult
DGRP_Line_383_Female_SAMN22427226,DGRP Line 383 Female,DGRP_383,female,adult
DGRP_Line_383_Male_SAMN22427227,DGRP Line 383 Male,DGRP_383,male,adult
DGRP_Line_383_Male_SAMN22427228,DGRP Line 383 Male,DGRP_383,male,adult
DGRP_Line_385_Female_SAMN22427229,DGRP Line 385 Female,DGRP_385,female,adult
DGRP_Line_385_Female_SAMN22427230,DGRP Line 385 Female,DGRP_385,female,adult
DGRP_Line_385_Male_SAMN22427231,DGRP Line 385 Male,DGRP_385,male,adult
DGRP_Line_385_Male_SAMN22427203,DGRP Line 385 Male,DGRP_385,male,adult
DGRP_Line_386_Female_SAMN22427204,DGRP Line 386 Female,DGRP_386,female,adult
DGRP_Line_386_Female_SAMN22427205,DGRP Line 386 Female,DGRP_386,female,adult
DGRP_Line_386_Male_SAMN22427206,DGRP Line 386 Male,DGRP_386,male,adult
DGRP_Line_386_Male_SAMN22427207,DGRP Line 386 Male,DGRP_386,male,adult
DGRP_Line_399_Female_SAMN22427208,DGRP Line 399 Female,DGRP_399,female,adult
DGRP_Line_399_Female_SAMN22427209,DGRP Line 399 Female,DGRP_399,female,adult
DGRP_Line_399_Male_SAMN22427210,DGRP Line 399 Male,DGRP_399,male,adult
DGRP_Line_399_Male_SAMN22427211,DGRP Line 399 Male,DGRP_399,male,adult
DGRP_Line_406_Female_SAMN22427212,DGRP Line 406 Female,DGRP_406,female,adult
DGRP_Line_406_Female_SAMN22427213,DGRP Line 406 Female,DGRP_406,female,adult
DGRP_Line_406_Male_SAMN22427214,DGRP Line 406 Male,DGRP_406,male,adult
DGRP_Line_406_Male_SAMN22427215,DGRP Line 406 Male,DGRP_406,male,adult
DGRP_Line_40_Female_SAMN22426979,DGRP Line 40 Female,DGRP_40,female,adult
DGRP_Line_40_Female_SAMN22426980,DGRP Line 40 Female,DGRP_40,female,adult
DGRP_Line_40_Male_SAMN22426981,DGRP Line 40 Male,DGRP_40,male,adult
DGRP_Line_40_Male_SAMN22426982,DGRP Line 40 Male,DGRP_40,male,adult
DGRP_Line_427_Female_SAMN22426983,DGRP Line 427 Female,DGRP_427,female,adult
DGRP_Line_427_Female_SAMN22426984,DGRP Line 427 Female,DGRP_427,female,adult
DGRP_Line_427_Male_SAMN22426986,DGRP Line 427 Male,DGRP_427,male,adult
DGRP_Line_437_Female_SAMN22426987,DGRP Line 437 Female,DGRP_437,female,adult
DGRP_Line_437_Female_SAMN22426988,DGRP Line 437 Female,DGRP_437,female,adult
DGRP_Line_437_Male_SAMN22426989,DGRP Line 437 Male,DGRP_437,male,adult
DGRP_Line_437_Male_SAMN22426990,DGRP Line 437 Male,DGRP_437,male,adult
DGRP_Line_439_Female_SAMN22426991,DGRP Line 439 Female,DGRP_439,female,adult
DGRP_Line_439_Female_SAMN22426992,DGRP Line 439 Female,DGRP_439,female,adult
DGRP_Line_439_Male_SAMN22426993,DGRP Line 439 Male,DGRP_439,male,adult
DGRP_Line_439_Male_SAMN22426994,DGRP Line 439 Male,DGRP_439,male,adult
DGRP_Line_441_Female_SAMN22426995,DGRP Line 441 Female,DGRP_441,female,adult
DGRP_Line_441_Female_SAMN22426996,DGRP Line 441 Female,DGRP_441,female,adult
DGRP_Line_441_Male_SAMN22426997,DGRP Line 441 Male,DGRP_441,male,adult
DGRP_Line_441_Male_SAMN22426998,DGRP Line 441 Male,DGRP_441,male,adult
DGRP_Line_45_Female_SAMN22426999,DGRP Line 45 Female,DGRP_45,female,adult
